threads,run,real,user,sys,image
1,1,9.82,9.79,0.00,results/images/mandelbrot_t1_run1.png
1,2,9.78,9.76,0.00,results/images/mandelbrot_t1_run2.png
1,3,9.83,9.79,0.00,results/images/mandelbrot_t1_run3.png
1,4,9.81,9.78,0.00,results/images/mandelbrot_t1_run4.png
1,5,9.84,9.81,0.00,results/images/mandelbrot_t1_run5.png
1,6,9.82,9.80,0.00,results/images/mandelbrot_t1_run6.png
1,7,9.83,9.80,0.00,results/images/mandelbrot_t1_run7.png
1,8,9.78,9.76,0.00,results/images/mandelbrot_t1_run8.png
1,9,9.78,9.76,0.00,results/images/mandelbrot_t1_run9.png
1,10,9.81,9.78,0.00,results/images/mandelbrot_t1_run10.png
2,1,4.92,9.77,0.00,results/images/mandelbrot_t2_run1.png
2,2,4.92,9.77,0.00,results/images/mandelbrot_t2_run2.png
2,3,4.93,9.78,0.00,results/images/mandelbrot_t2_run3.png
2,4,4.93,9.77,0.00,results/images/mandelbrot_t2_run4.png
2,5,4.93,9.78,0.00,results/images/mandelbrot_t2_run5.png
2,6,4.93,9.77,0.00,results/images/mandelbrot_t2_run6.png
2,7,4.93,9.77,0.00,results/images/mandelbrot_t2_run7.png
2,8,4.93,9.77,0.00,results/images/mandelbrot_t2_run8.png
2,9,4.93,9.77,0.00,results/images/mandelbrot_t2_run9.png
2,10,4.93,9.78,0.00,results/images/mandelbrot_t2_run10.png
4,1,4.14,9.85,0.00,results/images/mandelbrot_t4_run1.png
4,2,4.13,9.87,0.00,results/images/mandelbrot_t4_run2.png
4,3,4.12,9.80,0.00,results/images/mandelbrot_t4_run3.png
4,4,4.12,9.80,0.00,results/images/mandelbrot_t4_run4.png
4,5,4.12,9.80,0.00,results/images/mandelbrot_t4_run5.png
4,6,4.12,9.80,0.00,results/images/mandelbrot_t4_run6.png
4,7,4.12,9.79,0.00,results/images/mandelbrot_t4_run7.png
4,8,4.11,9.78,0.00,results/images/mandelbrot_t4_run8.png
4,9,4.12,9.80,0.00,results/images/mandelbrot_t4_run9.png
4,10,4.11,9.78,0.00,results/images/mandelbrot_t4_run10.png
8,1,2.54,9.99,0.00,results/images/mandelbrot_t8_run1.png
8,2,2.54,9.99,0.00,results/images/mandelbrot_t8_run2.png
8,3,2.54,9.99,0.00,results/images/mandelbrot_t8_run3.png
8,4,2.55,9.99,0.00,results/images/mandelbrot_t8_run4.png
8,5,2.54,9.99,0.00,results/images/mandelbrot_t8_run5.png
8,6,2.54,9.99,0.00,results/images/mandelbrot_t8_run6.png
8,7,2.54,9.98,0.00,results/images/mandelbrot_t8_run7.png
8,8,2.55,10.01,0.00,results/images/mandelbrot_t8_run8.png
8,9,2.54,9.99,0.00,results/images/mandelbrot_t8_run9.png
8,10,2.54,9.99,0.00,results/images/mandelbrot_t8_run10.png
12,1,1.80,10.11,0.00,results/images/mandelbrot_t12_run1.png
12,2,1.79,10.11,0.00,results/images/mandelbrot_t12_run2.png
12,3,1.80,10.12,0.00,results/images/mandelbrot_t12_run3.png
12,4,1.79,10.12,0.00,results/images/mandelbrot_t12_run4.png
12,5,1.79,10.11,0.00,results/images/mandelbrot_t12_run5.png
12,6,1.79,10.12,0.00,results/images/mandelbrot_t12_run6.png
12,7,1.79,10.11,0.00,results/images/mandelbrot_t12_run7.png
12,8,1.80,10.11,0.00,results/images/mandelbrot_t12_run8.png
12,9,1.79,10.11,0.00,results/images/mandelbrot_t12_run9.png
12,10,1.82,10.16,0.00,results/images/mandelbrot_t12_run10.png
