variant,threads,runs,mean_seconds,median_seconds,min_seconds,max_seconds,stdev_seconds,mean_pi,speedup_vs_variant_1_thread,efficiency_vs_variant_1_thread
atomic,1,5,13.131688,13.123281,13.120336,13.160904,0.017160,3.141643760000,1.000000,1.000000
atomic,4,5,17.408867,19.336035,10.728800,19.628349,3.788088,3.141452302857,0.754310,0.188578
atomic,8,5,18.950448,19.083951,18.168982,19.367847,0.494881,3.141413034286,0.692949,0.086619
atomic,12,5,23.319474,18.014226,17.927908,43.714860,11.410478,3.141459748571,0.563121,0.046927
critical,1,5,13.058123,13.074368,13.016350,13.080566,0.028417,3.141643760000,1.000000,1.000000
critical,4,5,81.623944,80.161164,79.458138,87.859687,3.508038,3.141452302857,0.159979,0.039995
critical,8,5,116.987222,116.784357,116.265317,117.793269,0.621107,3.141413034286,0.111620,0.013953
critical,12,5,130.567646,130.519957,130.269603,131.133847,0.334099,3.141459748571,0.100010,0.008334
reduction,1,5,10.328627,10.337248,10.305195,10.354460,0.021081,3.141643760000,1.000000,1.000000
reduction,4,5,2.659021,2.653033,2.613264,2.689586,0.031841,3.141452302857,3.884372,0.971093
reduction,8,5,1.348012,1.347815,1.347305,1.348625,0.000570,3.141413034286,7.662115,0.957764
reduction,12,5,1.018369,0.912487,0.899286,1.365229,0.199609,3.141459748571,10.142326,0.845194
serial,1,5,10.329242,10.317538,10.306567,10.358704,0.025297,3.141543377143,1.000000,1.000000
