variant,threads,run,samples,pi,elapsed_seconds
serial,1,1,700000000,3.141543377143,10.306567
serial,1,2,700000000,3.141543377143,10.358704
serial,1,3,700000000,3.141543377143,10.317538
serial,1,4,700000000,3.141543377143,10.309024
serial,1,5,700000000,3.141543377143,10.354379
critical,1,1,700000000,3.141643760000,13.078544
critical,1,2,700000000,3.141643760000,13.016350
critical,1,3,700000000,3.141643760000,13.074368
critical,1,4,700000000,3.141643760000,13.040788
critical,1,5,700000000,3.141643760000,13.080566
critical,4,1,700000000,3.141452302857,87.859687
critical,4,2,700000000,3.141452302857,80.161164
critical,4,3,700000000,3.141452302857,80.083964
critical,4,4,700000000,3.141452302857,79.458138
critical,4,5,700000000,3.141452302857,80.556768
critical,8,1,700000000,3.141413034286,116.644069
critical,8,2,700000000,3.141413034286,117.793269
critical,8,3,700000000,3.141413034286,116.784357
critical,8,4,700000000,3.141413034286,117.449099
critical,8,5,700000000,3.141413034286,116.265317
critical,12,1,700000000,3.141459748571,130.384966
critical,12,2,700000000,3.141459748571,130.269603
critical,12,3,700000000,3.141459748571,131.133847
critical,12,4,700000000,3.141459748571,130.529857
critical,12,5,700000000,3.141459748571,130.519957
atomic,1,1,700000000,3.141643760000,13.123281
atomic,1,2,700000000,3.141643760000,13.160904
atomic,1,3,700000000,3.141643760000,13.120634
atomic,1,4,700000000,3.141643760000,13.133287
atomic,1,5,700000000,3.141643760000,13.120336
atomic,4,1,700000000,3.141452302857,17.995146
atomic,4,2,700000000,3.141452302857,19.628349
atomic,4,3,700000000,3.141452302857,19.336035
atomic,4,4,700000000,3.141452302857,19.356004
atomic,4,5,700000000,3.141452302857,10.728800
atomic,8,1,700000000,3.141413034286,19.083951
atomic,8,2,700000000,3.141413034286,18.791583
atomic,8,3,700000000,3.141413034286,19.367847
atomic,8,4,700000000,3.141413034286,19.339878
atomic,8,5,700000000,3.141413034286,18.168982
atomic,12,1,700000000,3.141459748571,17.927908
atomic,12,2,700000000,3.141459748571,43.714860
atomic,12,3,700000000,3.141459748571,17.932364
atomic,12,4,700000000,3.141459748571,18.014226
atomic,12,5,700000000,3.141459748571,19.008014
reduction,1,1,700000000,3.141643760000,10.354460
reduction,1,2,700000000,3.141643760000,10.337712
reduction,1,3,700000000,3.141643760000,10.337248
reduction,1,4,700000000,3.141643760000,10.308518
reduction,1,5,700000000,3.141643760000,10.305195
reduction,4,1,700000000,3.141452302857,2.613264
reduction,4,2,700000000,3.141452302857,2.650023
reduction,4,3,700000000,3.141452302857,2.653033
reduction,4,4,700000000,3.141452302857,2.689586
reduction,4,5,700000000,3.141452302857,2.689199
reduction,8,1,700000000,3.141413034286,1.347744
reduction,8,2,700000000,3.141413034286,1.347305
reduction,8,3,700000000,3.141413034286,1.347815
reduction,8,4,700000000,3.141413034286,1.348625
reduction,8,5,700000000,3.141413034286,1.348573
reduction,12,1,700000000,3.141459748571,0.901554
reduction,12,2,700000000,3.141459748571,0.899286
reduction,12,3,700000000,3.141459748571,0.912487
reduction,12,4,700000000,3.141459748571,1.365229
reduction,12,5,700000000,3.141459748571,1.013287
