variant,threads,runs,mean_seconds,median_seconds,min_seconds,max_seconds,stdev_seconds,speedup_vs_variant_1_thread,efficiency_vs_variant_1_thread
auto,1,5,9.757247,9.750061,9.746235,9.780727,0.014200,1.000000,1.000000
auto,4,5,4.084650,4.085974,4.080262,4.088485,0.003267,2.388759,0.597190
auto,8,5,2.506206,2.507177,2.500308,2.508992,0.003401,3.893235,0.486654
auto,12,5,1.761671,1.761932,1.759126,1.762999,0.001553,5.538633,0.461553
dynamic,1,5,9.775214,9.752230,9.747535,9.841796,0.039735,1.000000,1.000000
dynamic,4,5,2.456005,2.455745,2.452960,2.457904,0.002048,3.980127,0.995032
dynamic,8,5,1.274836,1.274843,1.274451,1.275249,0.000286,7.667818,0.958477
dynamic,12,5,0.850369,0.850292,0.850124,0.850752,0.000244,11.495261,0.957938
guided,1,5,9.763315,9.758531,9.747660,9.777299,0.012783,1.000000,1.000000
guided,4,5,2.948721,2.956956,2.927471,2.960380,0.014586,3.311034,0.827758
guided,8,5,1.549154,1.550375,1.546383,1.551857,0.002544,6.302354,0.787794
guided,12,5,1.032178,1.031881,1.031506,1.033152,0.000733,9.458942,0.788245
runtime_dynamic,1,5,9.760834,9.750055,9.747261,9.779963,0.016179,1.000000,1.000000
runtime_dynamic,4,5,2.488253,2.491038,2.475853,2.492365,0.007005,3.922766,0.980692
runtime_dynamic,8,5,1.274972,1.275045,1.274508,1.275402,0.000369,7.655723,0.956965
runtime_dynamic,12,5,0.856859,0.852606,0.850221,0.865770,0.008041,11.391415,0.949285
runtime_guided,1,5,9.781497,9.780579,9.778699,9.786582,0.003023,1.000000,1.000000
runtime_guided,4,5,2.954057,2.958776,2.927079,2.965714,0.015552,3.311208,0.827802
runtime_guided,8,5,1.551885,1.550834,1.546659,1.558989,0.004492,6.302979,0.787872
runtime_guided,12,5,1.032719,1.032929,1.031859,1.033559,0.000758,9.471600,0.789300
runtime_static,1,5,9.776532,9.778774,9.746382,9.817052,0.028937,1.000000,1.000000
runtime_static,4,5,2.471400,2.472567,2.464336,2.474427,0.004052,3.955869,0.988967
runtime_static,8,5,1.276462,1.276768,1.275004,1.277778,0.001120,7.659088,0.957386
runtime_static,12,5,0.857614,0.853951,0.852448,0.873508,0.008975,11.399686,0.949974
static,1,5,9.768482,9.776715,9.747967,9.785713,0.018019,1.000000,1.000000
static,4,5,4.085424,4.085619,4.079234,4.093353,0.005626,2.391057,0.597764
static,8,5,2.517991,2.508092,2.508066,2.538497,0.014150,3.879475,0.484934
static,12,5,1.760753,1.760656,1.758728,1.762492,0.001363,5.547900,0.462325
