variant,threads,run,chunk,elapsed_seconds,image
static,1,1,1,9.781833,results/images/static_t1_run1.png
static,1,2,1,9.776715,results/images/static_t1_run2.png
static,1,3,1,9.747967,results/images/static_t1_run3.png
static,1,4,1,9.785713,results/images/static_t1_run4.png
static,1,5,1,9.750182,results/images/static_t1_run5.png
static,4,1,1,4.081027,results/images/static_t4_run1.png
static,4,2,1,4.087886,results/images/static_t4_run2.png
static,4,3,1,4.093353,results/images/static_t4_run3.png
static,4,4,1,4.079234,results/images/static_t4_run4.png
static,4,5,1,4.085619,results/images/static_t4_run5.png
static,8,1,1,2.508092,results/images/static_t8_run1.png
static,8,2,1,2.508066,results/images/static_t8_run2.png
static,8,3,1,2.508067,results/images/static_t8_run3.png
static,8,4,1,2.538497,results/images/static_t8_run4.png
static,8,5,1,2.527232,results/images/static_t8_run5.png
static,12,1,1,1.758728,results/images/static_t12_run1.png
static,12,2,1,1.760607,results/images/static_t12_run2.png
static,12,3,1,1.761282,results/images/static_t12_run3.png
static,12,4,1,1.760656,results/images/static_t12_run4.png
static,12,5,1,1.762492,results/images/static_t12_run5.png
dynamic,1,1,1,9.841796,results/images/dynamic_t1_run1.png
dynamic,1,2,1,9.752230,results/images/dynamic_t1_run2.png
dynamic,1,3,1,9.752070,results/images/dynamic_t1_run3.png
dynamic,1,4,1,9.782437,results/images/dynamic_t1_run4.png
dynamic,1,5,1,9.747535,results/images/dynamic_t1_run5.png
dynamic,4,1,1,2.457904,results/images/dynamic_t4_run1.png
dynamic,4,2,1,2.455745,results/images/dynamic_t4_run2.png
dynamic,4,3,1,2.452960,results/images/dynamic_t4_run3.png
dynamic,4,4,1,2.455516,results/images/dynamic_t4_run4.png
dynamic,4,5,1,2.457901,results/images/dynamic_t4_run5.png
dynamic,8,1,1,1.275249,results/images/dynamic_t8_run1.png
dynamic,8,2,1,1.274885,results/images/dynamic_t8_run2.png
dynamic,8,3,1,1.274843,results/images/dynamic_t8_run3.png
dynamic,8,4,1,1.274451,results/images/dynamic_t8_run4.png
dynamic,8,5,1,1.274754,results/images/dynamic_t8_run5.png
dynamic,12,1,1,0.850292,results/images/dynamic_t12_run1.png
dynamic,12,2,1,0.850445,results/images/dynamic_t12_run2.png
dynamic,12,3,1,0.850752,results/images/dynamic_t12_run3.png
dynamic,12,4,1,0.850124,results/images/dynamic_t12_run4.png
