snippet,variant,threads,runs,mean_seconds,median_seconds,min_seconds,max_seconds,stdev_seconds,mean_checksum,mean_aux,speedup_vs_original
snippet1,original,1,1,0.019567,0.019567,0.019567,0.019567,0.000000,1999161.467215725686,0.733398437500,1.000000
snippet1,parallel,1,5,0.017627,0.017908,0.016003,0.019417,0.001512,1999161.467215725686,0.733398437500,1.110046
snippet1,parallel,2,5,0.013385,0.012965,0.010774,0.018061,0.002843,1999161.467215725686,0.733398437500,1.461860
snippet1,parallel,4,5,0.010033,0.009331,0.008660,0.013047,0.001838,1999161.467215725686,0.733398437500,1.950303
snippet1,parallel,8,5,0.009967,0.010116,0.009130,0.010680,0.000683,1999161.467215725686,0.733398437500,1.963218
snippet2,original,1,1,0.015301,0.015301,0.015301,0.015301,0.000000,25.798729000082,1.936491736739,1.000000
snippet2,parallel,1,5,0.016964,0.015971,0.015476,0.021486,0.002539,25.798729000082,1.936491736739,0.901990
snippet2,parallel,2,5,0.012460,0.012884,0.010277,0.014076,0.001513,25.798729000082,1.936491736739,1.228029
snippet2,parallel,4,5,0.010126,0.010168,0.009229,0.011036,0.000651,25.798729000082,1.936491736739,1.511120
snippet2,parallel,8,5,0.009523,0.009355,0.009019,0.010194,0.000519,25.798729000082,1.936491736739,1.606708
snippet3,original,1,1,0.019743,0.019743,0.019743,0.019743,0.000000,4000015496106.613769531250,500002.756835937500,1.000000
snippet3,parallel,1,5,0.017808,0.017682,0.016521,0.019286,0.000992,4000015496106.614257812500,500002.756835937500,1.108647
snippet3,parallel,2,5,0.012236,0.011900,0.010995,0.014045,0.001158,4000015496106.614257812500,500002.756835937500,1.613544
snippet3,parallel,4,5,0.010457,0.010585,0.009502,0.011031,0.000585,4000015496106.614257812500,500002.756835937500,1.888090
snippet3,parallel,8,5,0.011308,0.010990,0.009986,0.013261,0.001348,4000015496106.614257812500,500002.756835937500,1.745932
