snippet,variant,threads,run,n,seconds,checksum,aux
snippet1,original,1,1,8000000,0.019567000,1999161.467215725686,0.733398437500
snippet1,parallel,1,1,8000000,0.016155000,1999161.467215725686,0.733398437500
snippet1,parallel,1,2,8000000,0.017908000,1999161.467215725686,0.733398437500
snippet1,parallel,1,3,8000000,0.016003000,1999161.467215725686,0.733398437500
snippet1,parallel,1,4,8000000,0.018653000,1999161.467215725686,0.733398437500
snippet1,parallel,1,5,8000000,0.019417000,1999161.467215725686,0.733398437500
snippet1,parallel,2,1,8000000,0.013590000,1999161.467215725686,0.733398437500
snippet1,parallel,2,2,8000000,0.011535000,1999161.467215725686,0.733398437500
snippet1,parallel,2,3,8000000,0.010774000,1999161.467215725686,0.733398437500
snippet1,parallel,2,4,8000000,0.012965000,1999161.467215725686,0.733398437500
snippet1,parallel,2,5,8000000,0.018061000,1999161.467215725686,0.733398437500
snippet1,parallel,4,1,8000000,0.010460000,1999161.467215725686,0.733398437500
snippet1,parallel,4,2,8000000,0.009331000,1999161.467215725686,0.733398437500
snippet1,parallel,4,3,8000000,0.008660000,1999161.467215725686,0.733398437500
snippet1,parallel,4,4,8000000,0.008666000,1999161.467215725686,0.733398437500
snippet1,parallel,4,5,8000000,0.013047000,1999161.467215725686,0.733398437500
snippet1,parallel,8,1,8000000,0.009130000,1999161.467215725686,0.733398437500
snippet1,parallel,8,2,8000000,0.010518000,1999161.467215725686,0.733398437500
snippet1,parallel,8,3,8000000,0.010116000,1999161.467215725686,0.733398437500
snippet1,parallel,8,4,8000000,0.010680000,1999161.467215725686,0.733398437500
snippet1,parallel,8,5,8000000,0.009390000,1999161.467215725686,0.733398437500
snippet2,original,1,1,8000000,0.015301000,25.798729000082,1.936491736739
snippet2,parallel,1,1,8000000,0.015476000,25.798729000082,1.936491736739
snippet2,parallel,1,2,8000000,0.021486000,25.798729000082,1.936491736739
snippet2,parallel,1,3,8000000,0.015971000,25.798729000082,1.936491736739
snippet2,parallel,1,4,8000000,0.016086000,25.798729000082,1.936491736739
snippet2,parallel,1,5,8000000,0.015799000,25.798729000082,1.936491736739
snippet2,parallel,2,1,8000000,0.010277000,25.798729000082,1.936491736739
snippet2,parallel,2,2,8000000,0.014076000,25.798729000082,1.936491736739
snippet2,parallel,2,3,8000000,0.011641000,25.798729000082,1.936491736739
snippet2,parallel,2,4,8000000,0.013421000,25.798729000082,1.936491736739
snippet2,parallel,2,5,8000000,0.012884000,25.798729000082,1.936491736739
snippet2,parallel,4,1,8000000,0.009229000,25.798729000082,1.936491736739
snippet2,parallel,4,2,8000000,0.009929000,25.798729000082,1.936491736739
snippet2,parallel,4,3,8000000,0.010266000,25.798729000082,1.936491736739
snippet2,parallel,4,4,8000000,0.010168000,25.798729000082,1.936491736739
snippet2,parallel,4,5,8000000,0.011036000,25.798729000082,1.936491736739
snippet2,parallel,8,1,8000000,0.009940000,25.798729000082,1.936491736739
snippet2,parallel,8,2,8000000,0.010194000,25.798729000082,1.936491736739
snippet2,parallel,8,3,8000000,0.009108000,25.798729000082,1.936491736739
snippet2,parallel,8,4,8000000,0.009355000,25.798729000082,1.936491736739
snippet2,parallel,8,5,8000000,0.009019000,25.798729000082,1.936491736739
snippet3,original,1,1,8000000,0.019743000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,1,1,8000000,0.016521000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,1,2,8000000,0.017580000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,1,3,8000000,0.019286000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,1,4,8000000,0.017682000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,1,5,8000000,0.017972000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,2,1,8000000,0.011668000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,2,2,8000000,0.010995000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,2,3,8000000,0.012571000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,2,4,8000000,0.011900000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,2,5,8000000,0.014045000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,4,1,8000000,0.010779000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,4,2,8000000,0.009502000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,4,3,8000000,0.010386000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,4,4,8000000,0.010585000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,4,5,8000000,0.011031000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,8,1,8000000,0.010990000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,8,2,8000000,0.010270000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,8,3,8000000,0.012033000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,8,4,8000000,0.009986000,4000015496106.613769531250,500002.756835937500
snippet3,parallel,8,5,8000000,0.013261000,4000015496106.613769531250,500002.756835937500
