case,variant,threads,runs,mean_seconds,median_seconds,min_seconds,max_seconds,stdev_seconds,mean_checksum,speedup_vs_original
case_a,original,1,1,0.035393,0.035393,0.035393,0.035393,0.000000,0.562500000000,1.000000
case_a,parallel,1,5,0.101991,0.100346,0.092672,0.115814,0.008739,0.562500000000,0.347020
case_a,parallel,2,5,0.050618,0.050252,0.048535,0.054088,0.002084,0.562500000000,0.699218
case_a,parallel,4,5,0.031622,0.030970,0.029802,0.034670,0.001835,0.562500000000,1.119259
case_a,parallel,8,5,0.021966,0.022131,0.017782,0.026287,0.003447,0.562500000000,1.611292
case_b,original,1,1,0.022938,0.022938,0.022938,0.022938,0.000000,286773264.832031250000,1.000000
case_b,parallel,1,5,0.025340,0.025277,0.024573,0.026340,0.000687,286773264.832031250000,0.905223
case_b,parallel,2,5,0.019143,0.019419,0.018521,0.019672,0.000519,286773264.832031250000,1.198220
case_b,parallel,4,5,0.017539,0.017899,0.016203,0.018493,0.000980,286773264.832031250000,1.307798
case_b,parallel,8,5,0.017355,0.016953,0.016361,0.019352,0.001196,286773264.832031250000,1.321724
case_c_twice0,original,1,1,0.019170,0.019170,0.019170,0.019170,0.000000,304457535.625000000000,1.000000
case_c_twice0,parallel,1,5,0.016763,0.016440,0.015655,0.019075,0.001348,304457535.625000000000,1.143563
case_c_twice0,parallel,2,5,0.012788,0.012844,0.011864,0.013858,0.000810,304457535.625000000000,1.499109
case_c_twice0,parallel,4,5,0.011520,0.011561,0.010463,0.012401,0.000725,304457535.625000000000,1.664091
case_c_twice0,parallel,8,5,0.010882,0.010816,0.010505,0.011649,0.000468,304457535.625000000000,1.761657
case_c_twice1,original,1,1,0.018580,0.018580,0.018580,0.018580,0.000000,608915043.767578125000,1.000000
case_c_twice1,parallel,1,5,0.019413,0.018973,0.018432,0.021856,0.001392,608915043.767578125000,0.957091
case_c_twice1,parallel,2,5,0.013713,0.013818,0.012951,0.014463,0.000686,608915043.767578125000,1.354879
case_c_twice1,parallel,4,5,0.011591,0.011370,0.011190,0.012225,0.000461,608915043.767578125000,1.603023
case_c_twice1,parallel,8,5,0.011075,0.011159,0.010365,0.011587,0.000515,608915043.767578125000,1.677622
