variant,threads,run,rows,cols,seconds,checksum,aux
original,1,1,2048,8192,0.021578000,267569559.394944518805,16.000000000000
original,1,2,2048,8192,0.016299000,267569559.394944518805,16.000000000000
original,1,3,2048,8192,0.013942000,267569559.394944518805,16.000000000000
original,1,4,2048,8192,0.015347000,267569559.394944518805,16.000000000000
original,1,5,2048,8192,0.013795000,267569559.394944518805,16.000000000000
original,1,6,2048,8192,0.013550000,267569559.394944518805,16.000000000000
original,1,7,2048,8192,0.013782000,267569559.394944518805,16.000000000000
parallel,2,1,2048,8192,0.008604000,267569559.394944518805,16.000000000000
parallel,2,2,2048,8192,0.010303000,267569559.394944518805,16.000000000000
parallel,2,3,2048,8192,0.009383000,267569559.394944518805,16.000000000000
parallel,2,4,2048,8192,0.010042000,267569559.394944518805,16.000000000000
parallel,2,5,2048,8192,0.010670000,267569559.394944518805,16.000000000000
parallel,2,6,2048,8192,0.010433000,267569559.394944518805,16.000000000000
parallel,2,7,2048,8192,0.008455000,267569559.394944518805,16.000000000000
