case,variant,threads,n,repetitions,runs,mean_seconds,median_seconds,stdev_seconds,speedup_vs_original_1t,efficiency_vs_original_1t
a,original,1,12000000,32,5,0.561424,0.556681,0.013477,1.000000,1.000000
a,original,4,12000000,32,5,0.555625,0.546728,0.017371,1.010437,0.252609
a,original,8,12000000,32,5,0.559240,0.558413,0.018263,1.003905,0.125488
a,original,12,12000000,32,5,0.554416,0.555224,0.010767,1.012641,0.084387
a,parallel,1,12000000,32,5,0.549286,0.550659,0.007805,1.022098,1.022098
a,parallel,4,12000000,32,5,0.346099,0.342247,0.013716,1.622147,0.405537
a,parallel,8,12000000,32,5,0.328984,0.332655,0.013392,1.706542,0.213318
a,parallel,12,12000000,32,5,0.305795,0.302003,0.010590,1.835947,0.152996
b,original,1,12000000,20,5,0.612782,0.591103,0.044077,1.000000,1.000000
b,original,4,12000000,20,5,0.595104,0.588327,0.017446,1.029705,0.257426
b,original,8,12000000,20,5,0.596823,0.595492,0.005067,1.026739,0.128342
b,original,12,12000000,20,5,0.595602,0.591490,0.015567,1.028845,0.085737
b,parallel,1,12000000,20,5,0.623753,0.620187,0.013704,0.982411,0.982411
b,parallel,4,12000000,20,5,0.484276,0.478486,0.022585,1.265355,0.316339
b,parallel,8,12000000,20,5,0.487457,0.482920,0.011818,1.257100,0.157138
b,parallel,12,12000000,20,5,0.473371,0.469600,0.008331,1.294508,0.107876
c_false,original,1,16000000,16,5,0.328548,0.326747,0.014105,1.000000,1.000000
c_false,original,4,16000000,16,5,0.335069,0.333738,0.014682,0.980540,0.245135
c_false,original,8,16000000,16,5,0.335782,0.334499,0.014890,0.978458,0.122307
c_false,original,12,16000000,16,5,0.333533,0.335251,0.007007,0.985054,0.082088
c_false,parallel,1,16000000,16,5,0.339187,0.338679,0.010108,0.968634,0.968634
c_false,parallel,4,16000000,16,5,0.260301,0.259113,0.010679,1.262185,0.315546
c_false,parallel,8,16000000,16,5,0.257557,0.257073,0.004972,1.275634,0.159454
c_false,parallel,12,16000000,16,5,0.251606,0.251339,0.006409,1.305804,0.108817
c_true,original,1,16000000,12,5,0.625826,0.624589,0.004326,1.000000,1.000000
c_true,original,4,16000000,12,5,0.628466,0.630667,0.005200,0.995799,0.248950
c_true,original,8,16000000,12,5,0.628114,0.629455,0.010557,0.996357,0.124545
c_true,original,12,16000000,12,5,0.630706,0.626397,0.014816,0.992263,0.082689
c_true,parallel,1,16000000,12,5,0.269002,0.267117,0.007151,2.326476,2.326476
c_true,parallel,4,16000000,12,5,0.202027,0.201648,0.003571,3.097727,0.774432
c_true,parallel,8,16000000,12,5,0.195464,0.193849,0.008208,3.201745,0.400218
c_true,parallel,12,16000000,12,5,0.186387,0.186569,0.006094,3.357665,0.279805
