case,variant,n,repetitions,threads,run,elapsed_seconds,checksum
a,original,12000000,32,1,1,0.584689000,3990566.9282769784
a,original,12000000,32,1,2,0.556681000,3990566.9282769784
a,original,12000000,32,1,3,0.560923000,3990566.9282769784
a,original,12000000,32,1,4,0.552096000,3990566.9282769784
a,original,12000000,32,1,5,0.552732000,3990566.9282769784
a,original,12000000,32,4,1,0.546728000,3990566.9282769784
a,original,12000000,32,4,2,0.539366000,3990566.9282769784
a,original,12000000,32,4,3,0.580647000,3990566.9282769784
a,original,12000000,32,4,4,0.544797000,3990566.9282769784
a,original,12000000,32,4,5,0.566589000,3990566.9282769784
a,original,12000000,32,8,1,0.561696000,3990566.9282769784
a,original,12000000,32,8,2,0.542673000,3990566.9282769784
a,original,12000000,32,8,3,0.558413000,3990566.9282769784
a,original,12000000,32,8,4,0.545014000,3990566.9282769784
a,original,12000000,32,8,5,0.588405000,3990566.9282769784
a,original,12000000,32,12,1,0.566796000,3990566.9282769784
a,original,12000000,32,12,2,0.554310000,3990566.9282769784
a,original,12000000,32,12,3,0.558463000,3990566.9282769784
a,original,12000000,32,12,4,0.537286000,3990566.9282769784
a,original,12000000,32,12,5,0.555224000,3990566.9282769784
a,parallel,12000000,32,1,1,0.554940000,3990566.9282769784
a,parallel,12000000,32,1,2,0.541831000,3990566.9282769784
a,parallel,12000000,32,1,3,0.558280000,3990566.9282769784
a,parallel,12000000,32,1,4,0.550659000,3990566.9282769784
a,parallel,12000000,32,1,5,0.540720000,3990566.9282769784
a,parallel,12000000,32,4,1,0.342247000,3990566.9282769784
a,parallel,12000000,32,4,2,0.334647000,3990566.9282769784
a,parallel,12000000,32,4,3,0.361884000,3990566.9282769784
a,parallel,12000000,32,4,4,0.332495000,3990566.9282769784
a,parallel,12000000,32,4,5,0.359224000,3990566.9282769784
a,parallel,12000000,32,8,1,0.337174000,3990566.9282769784
a,parallel,12000000,32,8,2,0.343533000,3990566.9282769784
a,parallel,12000000,32,8,3,0.321957000,3990566.9282769784
a,parallel,12000000,32,8,4,0.332655000,3990566.9282769784
a,parallel,12000000,32,8,5,0.309599000,3990566.9282769784
a,parallel,12000000,32,12,1,0.298674000,3990566.9282769784
a,parallel,12000000,32,12,2,0.309105000,3990566.9282769784
a,parallel,12000000,32,12,3,0.302003000,3990566.9282769784
a,parallel,12000000,32,12,4,0.296490000,3990566.9282769784
a,parallel,12000000,32,12,5,0.322705000,3990566.9282769784
b,original,12000000,20,1,1,0.690531000,18045764.024635963
b,original,12000000,20,1,2,0.591103000,18045764.024635963
b,original,12000000,20,1,3,0.587826000,18045764.024635963
b,original,12000000,20,1,4,0.588585000,18045764.024635963
b,original,12000000,20,1,5,0.605864000,18045764.024635963
b,original,12000000,20,4,1,0.587207000,18045764.024635963
b,original,12000000,20,4,2,0.626203000,18045764.024635963
b,original,12000000,20,4,3,0.588327000,18045764.024635963
b,original,12000000,20,4,4,0.588774000,18045764.024635963
b,original,12000000,20,4,5,0.585009000,18045764.024635963
b,original,12000000,20,8,1,0.595492000,18045764.024635963
b,original,12000000,20,8,2,0.605436000,18045764.024635963
b,original,12000000,20,8,3,0.596488000,18045764.024635963
b,original,12000000,20,8,4,0.594471000,18045764.024635963
b,original,12000000,20,8,5,0.592229000,18045764.024635963
b,original,12000000,20,12,1,0.591490000,18045764.024635963
b,original,12000000,20,12,2,0.589159000,18045764.024635963
b,original,12000000,20,12,3,0.593499000,18045764.024635963
b,original,12000000,20,12,4,0.581602000,18045764.024635963
b,original,12000000,20,12,5,0.622258000,18045764.024635963
b,parallel,12000000,20,1,1,0.625541000,18045764.024635963
b,parallel,12000000,20,1,2,0.620187000,18045764.024635963
b,parallel,12000000,20,1,3,0.614831000,18045764.024635963
b,parallel,12000000,20,1,4,0.646402000,18045764.024635963
b,parallel,12000000,20,1,5,0.611805000,18045764.024635963
b,parallel,12000000,20,4,1,0.463127000,18045764.024635963
b,parallel,12000000,20,4,2,0.522710000,18045764.024635963
b,parallel,12000000,20,4,3,0.481383000,18045764.024635963
b,parallel,12000000,20,4,4,0.478486000,18045764.024635963
b,parallel,12000000,20,4,5,0.475676000,18045764.024635963
b,parallel,12000000,20,8,1,0.482920000,18045764.024635963
b,parallel,12000000,20,8,2,0.478863000,18045764.024635963
b,parallel,12000000,20,8,3,0.498726000,18045764.024635963
b,parallel,12000000,20,8,4,0.501338000,18045764.024635963
b,parallel,12000000,20,8,5,0.475436000,18045764.024635963
b,parallel,12000000,20,12,1,0.469600000,18045764.024635963
b,parallel,12000000,20,12,2,0.469071000,18045764.024635963
b,parallel,12000000,20,12,3,0.474543000,18045764.024635963
b,parallel,12000000,20,12,4,0.466338000,18045764.024635963
b,parallel,12000000,20,12,5,0.487301000,18045764.024635963
c_false,original,16000000,16,1,1,0.352058000,1300487297.1343446
c_false,original,16000000,16,1,2,0.326747000,1300487297.1343446
c_false,original,16000000,16,1,3,0.328292000,1300487297.1343446
c_false,original,16000000,16,1,4,0.320020000,1300487297.1343446
c_false,original,16000000,16,1,5,0.315625000,1300487297.1343446
c_false,original,16000000,16,4,1,0.318789000,1300487297.1343446
c_false,original,16000000,16,4,2,0.322976000,1300487297.1343446
c_false,original,16000000,16,4,3,0.347913000,1300487297.1343446
c_false,original,16000000,16,4,4,0.333738000,1300487297.1343446
c_false,original,16000000,16,4,5,0.351929000,1300487297.1343446
c_false,original,16000000,16,8,1,0.337813000,1300487297.1343446
c_false,original,16000000,16,8,2,0.358432000,1300487297.1343446
c_false,original,16000000,16,8,3,0.334499000,1300487297.1343446
c_false,original,16000000,16,8,4,0.330951000,1300487297.1343446
c_false,original,16000000,16,8,5,0.317214000,1300487297.1343446
c_false,original,16000000,16,12,1,0.341391000,1300487297.1343446
c_false,original,16000000,16,12,2,0.335251000,1300487297.1343446
c_false,original,16000000,16,12,3,0.324066000,1300487297.1343446
c_false,original,16000000,16,12,4,0.338066000,1300487297.1343446
c_false,original,16000000,16,12,5,0.328893000,1300487297.1343446
c_false,parallel,16000000,16,1,1,0.338679000,1300487297.1343446
c_false,parallel,16000000,16,1,2,0.329395000,1300487297.1343446
c_false,parallel,16000000,16,1,3,0.332849000,1300487297.1343446
c_false,parallel,16000000,16,1,4,0.355689000,1300487297.1343446
c_false,parallel,16000000,16,1,5,0.339324000,1300487297.1343446
c_false,parallel,16000000,16,4,1,0.251442000,1300487297.1343446
c_false,parallel,16000000,16,4,2,0.259399000,1300487297.1343446
c_false,parallel,16000000,16,4,3,0.278337000,1300487297.1343446
c_false,parallel,16000000,16,4,4,0.253216000,1300487297.1343446
c_false,parallel,16000000,16,4,5,0.259113000,1300487297.1343446
c_false,parallel,16000000,16,8,1,0.257073000,1300487297.1343446
c_false,parallel,16000000,16,8,2,0.251244000,1300487297.1343446
c_false,parallel,16000000,16,8,3,0.254837000,1300487297.1343446
c_false,parallel,16000000,16,8,4,0.260568000,1300487297.1343446
c_false,parallel,16000000,16,8,5,0.264063000,1300487297.1343446
c_false,parallel,16000000,16,12,1,0.251339000,1300487297.1343446
c_false,parallel,16000000,16,12,2,0.242425000,1300487297.1343446
c_false,parallel,16000000,16,12,3,0.259363000,1300487297.1343446
c_false,parallel,16000000,16,12,4,0.255482000,1300487297.1343446
c_false,parallel,16000000,16,12,5,0.249422000,1300487297.1343446
c_true,original,16000000,12,1,1,0.625480000,728147992133.34314
c_true,original,16000000,12,1,2,0.621530000,728147992133.34314
c_true,original,16000000,12,1,3,0.633093000,728147992133.34314
c_true,original,16000000,12,1,4,0.624589000,728147992133.34314
c_true,original,16000000,12,1,5,0.624437000,728147992133.34314
c_true,original,16000000,12,4,1,0.630667000,728147992133.34314
c_true,original,16000000,12,4,2,0.624068000,728147992133.34314
c_true,original,16000000,12,4,3,0.621790000,728147992133.34314
c_true,original,16000000,12,4,4,0.632796000,728147992133.34314
c_true,original,16000000,12,4,5,0.633010000,728147992133.34314
c_true,original,16000000,12,8,1,0.634051000,728147992133.34314
c_true,original,16000000,12,8,2,0.626168000,728147992133.34314
c_true,original,16000000,12,8,3,0.629455000,728147992133.34314
c_true,original,16000000,12,8,4,0.611470000,728147992133.34314
c_true,original,16000000,12,8,5,0.639427000,728147992133.34314
c_true,original,16000000,12,12,1,0.619603000,728147992133.34314
c_true,original,16000000,12,12,2,0.622587000,728147992133.34314
c_true,original,16000000,12,12,3,0.656497000,728147992133.34314
c_true,original,16000000,12,12,4,0.628445000,728147992133.34314
c_true,original,16000000,12,12,5,0.626397000,728147992133.34314
c_true,parallel,16000000,12,1,1,0.265733000,728147992133.34314
c_true,parallel,16000000,12,1,2,0.267334000,728147992133.34314
c_true,parallel,16000000,12,1,3,0.281475000,728147992133.34314
c_true,parallel,16000000,12,1,4,0.263349000,728147992133.34314
c_true,parallel,16000000,12,1,5,0.267117000,728147992133.34314
c_true,parallel,16000000,12,4,1,0.204709000,728147992133.34314
c_true,parallel,16000000,12,4,2,0.206181000,728147992133.34314
c_true,parallel,16000000,12,4,3,0.197129000,728147992133.34314
c_true,parallel,16000000,12,4,4,0.201648000,728147992133.34314
c_true,parallel,16000000,12,4,5,0.200470000,728147992133.34314
c_true,parallel,16000000,12,8,1,0.199317000,728147992133.34314
c_true,parallel,16000000,12,8,2,0.207523000,728147992133.34314
c_true,parallel,16000000,12,8,3,0.189802000,728147992133.34314
c_true,parallel,16000000,12,8,4,0.186829000,728147992133.34314
c_true,parallel,16000000,12,8,5,0.193849000,728147992133.34314
c_true,parallel,16000000,12,12,1,0.186569000,728147992133.34314
c_true,parallel,16000000,12,12,2,0.183082000,728147992133.34314
c_true,parallel,16000000,12,12,3,0.178176000,728147992133.34314
c_true,parallel,16000000,12,12,4,0.193777000,728147992133.34314
c_true,parallel,16000000,12,12,5,0.190332000,728147992133.34314
