mode,threads,n,cutoff,runs,elapsed_mean,elapsed_median,elapsed_stdev,speedup_vs_seq,result,expected
seq,1,3,8,5,0.000001,0.000001,0.000000,1.000000,63,63
seq,1,4,8,5,0.000001,0.000001,0.000000,1.000000,321,321
seq,1,5,8,5,0.000007,0.000007,0.000000,1.000000,1683,1683
seq,1,6,8,5,0.000026,0.000026,0.000000,1.000000,8989,8989
seq,1,7,8,5,0.000122,0.000121,0.000003,1.000000,48639,48639
seq,1,8,8,5,0.000584,0.000586,0.000003,1.000000,265729,265729
seq,1,9,8,5,0.002194,0.002193,0.000004,1.000000,1462563,1462563
seq,1,10,8,5,0.025903,0.025919,0.000106,1.000000,8097453,8097453
seq,1,11,8,5,0.115798,0.115363,0.001013,1.000000,45046719,45046719
seq,1,12,8,5,0.609723,0.609935,0.001367,1.000000,251595969,251595969
seq,1,13,8,5,3.025472,3.027351,0.005288,1.000000,1409933619,1409933619
seq,1,14,8,5,11.940489,11.947445,0.038159,1.000000,7923848253,7923848253
seq,1,15,8,5,141.674963,141.523361,0.270744,1.000000,44642381823,44642381823
task,1,3,8,5,0.000015,0.000015,0.000005,0.066667,63,63
task,1,4,8,5,0.000014,0.000013,0.000004,0.085714,321,321
task,1,5,8,5,0.000030,0.000031,0.000003,0.236486,1683,1683
task,1,6,8,5,0.000066,0.000073,0.000016,0.396970,8989,8989
task,1,7,8,5,0.000206,0.000201,0.000015,0.593023,48639,48639
task,1,8,8,5,0.000868,0.000870,0.000026,0.672656,265729,265729
task,1,9,8,5,0.004566,0.004563,0.000037,0.480399,1462563,1462563
task,1,10,8,5,0.025299,0.025274,0.000153,1.023875,8097453,8097453
task,1,11,8,5,0.141135,0.141240,0.000597,0.820481,45046719,45046719
task,1,12,8,5,0.796849,0.795475,0.003160,0.765168,251595969,251595969
task,1,13,8,5,4.516253,4.520346,0.009945,0.669907,1409933619,1409933619
task,1,14,8,5,25.764436,25.720737,0.099163,0.463448,7923848253,7923848253
task,1,15,8,5,146.123632,145.962224,0.415276,0.969555,44642381823,44642381823
task,12,3,8,5,0.000697,0.000626,0.000163,0.001435,63,63
task,12,4,8,5,0.000655,0.000659,0.000011,0.001833,321,321
task,12,5,8,5,0.001458,0.000778,0.001502,0.004802,1683,1683
task,12,6,8,5,0.001020,0.000991,0.000096,0.025696,8989,8989
task,12,7,8,5,0.001227,0.001202,0.000132,0.099723,48639,48639
task,12,8,8,5,0.004034,0.003998,0.000130,0.144784,265729,265729
task,12,9,8,5,0.019121,0.019294,0.000422,0.114722,1462563,1462563
task,12,10,8,5,0.106826,0.108070,0.003111,0.242477,8097453,8097453
task,12,11,8,5,0.601991,0.601380,0.018086,0.192359,45046719,45046719
task,12,12,8,5,3.482125,3.456356,0.068293,0.175101,251595969,251595969
task,12,13,8,5,20.554107,20.915809,0.873921,0.147195,1409933619,1409933619
task,12,14,8,5,118.605577,118.152897,2.944891,0.100674,7923848253,7923848253
task,12,15,8,1,676.674172,676.674172,0.000000,0.209370,44642381823,44642381823
