mode,threads,run,n,cutoff,result,expected,elapsed_seconds
seq,1,1,3,8,63,63,0.000001
seq,1,2,3,8,63,63,0.000001
seq,1,3,3,8,63,63,0.000001
seq,1,4,3,8,63,63,0.000001
seq,1,5,3,8,63,63,0.000001
seq,1,1,4,8,321,321,0.000001
seq,1,2,4,8,321,321,0.000001
seq,1,3,4,8,321,321,0.000001
seq,1,4,4,8,321,321,0.000001
seq,1,5,4,8,321,321,0.000002
seq,1,1,5,8,1683,1683,0.000007
seq,1,2,5,8,1683,1683,0.000007
seq,1,3,5,8,1683,1683,0.000007
seq,1,4,5,8,1683,1683,0.000007
seq,1,5,5,8,1683,1683,0.000007
seq,1,1,6,8,8989,8989,0.000026
seq,1,2,6,8,8989,8989,0.000026
seq,1,3,6,8,8989,8989,0.000027
seq,1,4,6,8,8989,8989,0.000026
seq,1,5,6,8,8989,8989,0.000026
seq,1,1,7,8,48639,48639,0.000121
seq,1,2,7,8,48639,48639,0.000121
seq,1,3,7,8,48639,48639,0.000121
seq,1,4,7,8,48639,48639,0.000121
seq,1,5,7,8,48639,48639,0.000128
seq,1,1,8,8,265729,265729,0.000587
seq,1,2,8,8,265729,265729,0.000582
seq,1,3,8,8,265729,265729,0.000586
seq,1,4,8,8,265729,265729,0.000586
seq,1,5,8,8,265729,265729,0.000579
seq,1,1,9,8,1462563,1462563,0.002193
seq,1,2,9,8,1462563,1462563,0.002200
seq,1,3,9,8,1462563,1462563,0.002188
seq,1,4,9,8,1462563,1462563,0.002193
seq,1,5,9,8,1462563,1462563,0.002194
seq,1,1,10,8,8097453,8097453,0.025919
seq,1,2,10,8,8097453,8097453,0.025888
seq,1,3,10,8,8097453,8097453,0.025955
seq,1,4,10,8,8097453,8097453,0.026018
seq,1,5,10,8,8097453,8097453,0.025734
seq,1,1,11,8,45046719,45046719,0.117551
seq,1,2,11,8,45046719,45046719,0.115360
seq,1,3,11,8,45046719,45046719,0.115363
seq,1,4,11,8,45046719,45046719,0.115724
seq,1,5,11,8,45046719,45046719,0.114993
seq,1,1,12,8,251595969,251595969,0.610617
seq,1,2,12,8,251595969,251595969,0.611128
seq,1,3,12,8,251595969,251595969,0.607600
seq,1,4,12,8,251595969,251595969,0.609935
seq,1,5,12,8,251595969,251595969,0.609336
seq,1,1,13,8,1409933619,1409933619,3.027414
seq,1,2,13,8,1409933619,1409933619,3.032306
seq,1,3,13,8,1409933619,1409933619,3.020869
seq,1,4,13,8,1409933619,1409933619,3.019418
seq,1,5,13,8,1409933619,1409933619,3.027351
seq,1,1,14,8,7923848253,7923848253,11.956979
seq,1,2,14,8,7923848253,7923848253,11.947445
seq,1,3,14,8,7923848253,7923848253,11.992034
seq,1,4,14,8,7923848253,7923848253,11.907215
seq,1,5,14,8,7923848253,7923848253,11.898773
seq,1,1,15,8,44642381823,44642381823,141.880299
seq,1,2,15,8,44642381823,44642381823,141.523361
seq,1,3,15,8,44642381823,44642381823,141.453410
seq,1,4,15,8,44642381823,44642381823,141.471735
seq,1,5,15,8,44642381823,44642381823,142.046009
task,1,1,3,8,63,63,0.000022
task,1,2,3,8,63,63,0.000015
task,1,3,3,8,63,63,0.000016
task,1,4,3,8,63,63,0.000010
task,1,5,3,8,63,63,0.000012
task,1,1,4,8,321,321,0.000014
task,1,2,4,8,321,321,0.000011
task,1,3,4,8,321,321,0.000020
task,1,4,4,8,321,321,0.000012
task,1,5,4,8,321,321,0.000013
task,1,1,5,8,1683,1683,0.000033
task,1,2,5,8,1683,1683,0.000024
task,1,3,5,8,1683,1683,0.000029
task,1,4,5,8,1683,1683,0.000031
task,1,5,5,8,1683,1683,0.000031
task,1,1,6,8,8989,8989,0.000076
task,1,2,6,8,8989,8989,0.000073
task,1,3,6,8,8989,8989,0.000037
task,1,4,6,8,8989,8989,0.000073
task,1,5,6,8,8989,8989,0.000071
task,1,1,7,8,48639,48639,0.000196
task,1,2,7,8,48639,48639,0.000203
task,1,3,7,8,48639,48639,0.000199
task,1,4,7,8,48639,48639,0.000201
task,1,5,7,8,48639,48639,0.000233
task,1,1,8,8,265729,265729,0.000827
task,1,2,8,8,265729,265729,0.000878
task,1,3,8,8,265729,265729,0.000869
task,1,4,8,8,265729,265729,0.000870
task,1,5,8,8,265729,265729,0.000897
task,1,1,9,8,1462563,1462563,0.004614
task,1,2,9,8,1462563,1462563,0.004587
task,1,3,9,8,1462563,1462563,0.004549
task,1,4,9,8,1462563,1462563,0.004518
task,1,5,9,8,1462563,1462563,0.004563
task,1,1,10,8,8097453,8097453,0.025550
task,1,2,10,8,8097453,8097453,0.025175
task,1,3,10,8,8097453,8097453,0.025317
task,1,4,10,8,8097453,8097453,0.025274
task,1,5,10,8,8097453,8097453,0.025178
task,1,1,11,8,45046719,45046719,0.140247
task,1,2,11,8,45046719,45046719,0.141420
task,1,3,11,8,45046719,45046719,0.140924
task,1,4,11,8,45046719,45046719,0.141842
task,1,5,11,8,45046719,45046719,0.141240
task,1,1,12,8,251595969,251595969,0.802491
task,1,2,12,8,251595969,251595969,0.795344
task,1,3,12,8,251595969,251595969,0.795724
task,1,4,12,8,251595969,251595969,0.795211
task,1,5,12,8,251595969,251595969,0.795475
task,1,1,13,8,1409933619,1409933619,4.524944
task,1,2,13,8,1409933619,1409933619,4.503852
task,1,3,13,8,1409933619,1409933619,4.524708
task,1,4,13,8,1409933619,1409933619,4.507417
task,1,5,13,8,1409933619,1409933619,4.520346
task,1,1,14,8,7923848253,7923848253,25.715446
task,1,2,14,8,7923848253,7923848253,25.719154
task,1,3,14,8,7923848253,7923848253,25.720737
task,1,4,14,8,7923848253,7923848253,25.725127
task,1,5,14,8,7923848253,7923848253,25.941716
task,1,1,15,8,44642381823,44642381823,145.605033
task,1,2,15,8,44642381823,44642381823,146.584588
task,1,3,15,8,44642381823,44642381823,145.951781
task,1,4,15,8,44642381823,44642381823,145.962224
task,1,5,15,8,44642381823,44642381823,146.514534
task,12,1,3,8,63,63,0.000603
task,12,2,3,8,63,63,0.000626
task,12,3,3,8,63,63,0.000654
task,12,4,3,8,63,63,0.000616
task,12,5,3,8,63,63,0.000986
task,12,1,4,8,321,321,0.000659
task,12,2,4,8,321,321,0.000642
task,12,3,4,8,321,321,0.000665
task,12,4,4,8,321,321,0.000664
task,12,5,4,8,321,321,0.000643
task,12,1,5,8,1683,1683,0.000758
task,12,2,5,8,1683,1683,0.000749
task,12,3,5,8,1683,1683,0.000861
task,12,4,5,8,1683,1683,0.004143
task,12,5,5,8,1683,1683,0.000778
task,12,1,6,8,8989,8989,0.001046
task,12,2,6,8,8989,8989,0.000911
task,12,3,6,8,8989,8989,0.001168
task,12,4,6,8,8989,8989,0.000982
task,12,5,6,8,8989,8989,0.000991
task,12,1,7,8,48639,48639,0.001160
task,12,2,7,8,48639,48639,0.001094
task,12,3,7,8,48639,48639,0.001443
task,12,4,7,8,48639,48639,0.001202
task,12,5,7,8,48639,48639,0.001238
task,12,1,8,8,265729,265729,0.003937
task,12,2,8,8,265729,265729,0.003998
task,12,3,8,8,265729,265729,0.004033
task,12,4,8,8,265729,265729,0.004255
task,12,5,8,8,265729,265729,0.003945
task,12,1,9,8,1462563,1462563,0.019586
task,12,2,9,8,1462563,1462563,0.018923
task,12,3,9,8,1462563,1462563,0.019294
task,12,4,9,8,1462563,1462563,0.018494
task,12,5,9,8,1462563,1462563,0.019308
task,12,1,10,8,8097453,8097453,0.109166
task,12,2,10,8,8097453,8097453,0.108634
task,12,3,10,8,8097453,8097453,0.106764
task,12,4,10,8,8097453,8097453,0.101496
task,12,5,10,8,8097453,8097453,0.108070
task,12,1,11,8,45046719,45046719,0.600149
task,12,2,11,8,45046719,45046719,0.574305
task,12,3,11,8,45046719,45046719,0.623536
task,12,4,11,8,45046719,45046719,0.610587
task,12,5,11,8,45046719,45046719,0.601380
task,12,1,12,8,251595969,251595969,3.445698
task,12,2,12,8,251595969,251595969,3.439553
task,12,3,12,8,251595969,251595969,3.602935
task,12,4,12,8,251595969,251595969,3.466082
task,12,5,12,8,251595969,251595969,3.456356
task,12,1,13,8,1409933619,1409933619,19.524864
task,12,2,13,8,1409933619,1409933619,19.787589
task,12,3,13,8,1409933619,1409933619,21.623961
task,12,4,13,8,1409933619,1409933619,20.915809
task,12,5,13,8,1409933619,1409933619,20.918312
task,12,1,14,8,7923848253,7923848253,120.033456
task,12,2,14,8,7923848253,7923848253,122.875223
