variant,size,repetitions,metric,value,unit
baseline,2048,1000000,cycles:u,8221671739,
baseline,2048,1000000,instructions:u,14340876604,
baseline,2048,1000000,r0410:u,4096115161,
baseline,2048,1000000,r1010:u,0,
baseline,2048,1000000,r2010:u,4096079894,
baseline,2048,1000000,r4010:u,4095814046,
baseline,8192,1000000,cycles:u,32795730046,
baseline,8192,1000000,instructions:u,57342415510,
baseline,8192,1000000,r0410:u,16384920214,
baseline,8192,1000000,r1010:u,0,
baseline,8192,1000000,r2010:u,16385552440,
baseline,8192,1000000,r4010:u,16383874927,
auto_vectorized,2048,1000000,cycles:u,1558282112,
auto_vectorized,2048,1000000,instructions:u,4616753590,
auto_vectorized,2048,1000000,r0410:u,1023857772,
auto_vectorized,2048,1000000,r1010:u,1023529106,
auto_vectorized,2048,1000000,r2010:u,4,
auto_vectorized,2048,1000000,r4010:u,1024809532,
auto_vectorized,8192,1000000,cycles:u,11016437040,
auto_vectorized,8192,1000000,instructions:u,18439150279,
auto_vectorized,8192,1000000,r0410:u,4136779804,
auto_vectorized,8192,1000000,r1010:u,4135578372,
auto_vectorized,8192,1000000,r2010:u,9852,
auto_vectorized,8192,1000000,r4010:u,4144351107,
