variant,size,metric,unit,mean_value,stddev_value
auto_vectorized,2048,cycles:u,,1558282112.0,0.0
auto_vectorized,2048,instructions:u,,4616753590.0,0.0
auto_vectorized,2048,r0410:u,,1023857772.0,0.0
auto_vectorized,2048,r1010:u,,1023529106.0,0.0
auto_vectorized,2048,r2010:u,,4.0,0.0
auto_vectorized,2048,r4010:u,,1024809532.0,0.0
baseline,2048,cycles:u,,8221671739.0,0.0
baseline,2048,instructions:u,,14340876604.0,0.0
baseline,2048,r0410:u,,4096115161.0,0.0
baseline,2048,r1010:u,,0.0,0.0
baseline,2048,r2010:u,,4096079894.0,0.0
baseline,2048,r4010:u,,4095814046.0,0.0
auto_vectorized,8192,cycles:u,,11016437040.0,0.0
auto_vectorized,8192,instructions:u,,18439150279.0,0.0
auto_vectorized,8192,r0410:u,,4136779804.0,0.0
auto_vectorized,8192,r1010:u,,4135578372.0,0.0
auto_vectorized,8192,r2010:u,,9852.0,0.0
auto_vectorized,8192,r4010:u,,4144351107.0,0.0
baseline,8192,cycles:u,,32795730046.0,0.0
baseline,8192,instructions:u,,57342415510.0,0.0
baseline,8192,r0410:u,,16384920214.0,0.0
baseline,8192,r1010:u,,0.0,0.0
baseline,8192,r2010:u,,16385552440.0,0.0
baseline,8192,r4010:u,,16383874927.0,0.0
