variant,size,runs,mean_seconds,stddev_seconds,min_seconds,max_seconds
auto_vectorized,256,5,0.0634963828,0.00010211346995230246,0.063344761,0.06361879
baseline,256,5,0.338855413,0.0007057949668621968,0.338036303,0.339541187
auto_vectorized,512,5,0.1330945074,0.000670543181519501,0.132373323,0.133832611
baseline,512,5,0.6750018118,0.0028161937019399413,0.672931767,0.678973718
auto_vectorized,1024,5,0.25891773360000003,0.0012828728307771912,0.25763036,0.260817924
baseline,1024,5,1.3498509304,0.006958412019601879,1.342795587,1.359107855
auto_vectorized,2048,5,0.510449344,0.0018032386040406688,0.509033116,0.512934934
baseline,2048,5,2.6856494148,0.00589400412751792,2.681252662,2.695985832
auto_vectorized,4096,5,1.8074228684000002,0.018192459661588126,1.793809855,1.83797523
baseline,4096,5,5.3831642004,0.016383960667418467,5.361162462,5.395477496
auto_vectorized,8192,5,3.6096136582,0.00661398343861182,3.602107734,3.620076179
baseline,8192,5,10.781905607599999,0.03633074773684085,10.727071568,10.826034434
