variant,type,size,repetitions,metric,value,unit
baseline_float,float,2048,1000000,cycles:u,8308198700,
baseline_float,float,2048,1000000,instructions:u,14340740509,
baseline_float,float,2048,1000000,r0410:u,4093586293,
baseline_float,float,2048,1000000,r1010:u,0,
baseline_float,float,2048,1000000,r2010:u,4095816729,
baseline_float,float,2048,1000000,r4010:u,4100214428,
baseline_float,float,2048,1000000,r8010:u,0,
auto_float,float,2048,1000000,cycles:u,1553765529,
auto_float,float,2048,1000000,instructions:u,4614418603,
auto_float,float,2048,1000000,r0410:u,1023268455,
auto_float,float,2048,1000000,r1010:u,1023368807,
auto_float,float,2048,1000000,r2010:u,16,
auto_float,float,2048,1000000,r4010:u,1024409675,
auto_float,float,2048,1000000,r8010:u,0,
omp_simd_float,float,2048,1000000,cycles:u,1554255720,
omp_simd_float,float,2048,1000000,instructions:u,4614090951,
omp_simd_float,float,2048,1000000,r0410:u,1024024388,
omp_simd_float,float,2048,1000000,r1010:u,1024173347,
omp_simd_float,float,2048,1000000,r2010:u,16,
omp_simd_float,float,2048,1000000,r4010:u,1023545859,
omp_simd_float,float,2048,1000000,r8010:u,10,
baseline_double,double,2048,1000000,cycles:u,8201181047,
baseline_double,double,2048,1000000,instructions:u,14336830933,
baseline_double,double,2048,1000000,r0410:u,4095721025,
baseline_double,double,2048,1000000,r1010:u,0,
baseline_double,double,2048,1000000,r2010:u,4095988613,
baseline_double,double,2048,1000000,r4010:u,0,
baseline_double,double,2048,1000000,r8010:u,4096467175,
omp_simd_double,double,2048,1000000,cycles:u,5516018787,
omp_simd_double,double,2048,1000000,instructions:u,9225976925,
omp_simd_double,double,2048,1000000,r0410:u,2080444485,
omp_simd_double,double,2048,1000000,r1010:u,2080777666,
omp_simd_double,double,2048,1000000,r2010:u,16,
omp_simd_double,double,2048,1000000,r4010:u,0,
omp_simd_double,double,2048,1000000,r8010:u,2083011791,
