variant,type,metric,unit,mean_value,stddev_value
auto_float,float,cycles:u,,1553765529.0,0.0
auto_float,float,instructions:u,,4614418603.0,0.0
auto_float,float,r0410:u,,1023268455.0,0.0
auto_float,float,r1010:u,,1023368807.0,0.0
auto_float,float,r2010:u,,16.0,0.0
auto_float,float,r4010:u,,1024409675.0,0.0
auto_float,float,r8010:u,,0.0,0.0
baseline_double,double,cycles:u,,8201181047.0,0.0
baseline_double,double,instructions:u,,14336830933.0,0.0
baseline_double,double,r0410:u,,4095721025.0,0.0
baseline_double,double,r1010:u,,0.0,0.0
baseline_double,double,r2010:u,,4095988613.0,0.0
baseline_double,double,r4010:u,,0.0,0.0
baseline_double,double,r8010:u,,4096467175.0,0.0
baseline_float,float,cycles:u,,8308198700.0,0.0
baseline_float,float,instructions:u,,14340740509.0,0.0
baseline_float,float,r0410:u,,4093586293.0,0.0
baseline_float,float,r1010:u,,0.0,0.0
baseline_float,float,r2010:u,,4095816729.0,0.0
baseline_float,float,r4010:u,,4100214428.0,0.0
baseline_float,float,r8010:u,,0.0,0.0
omp_simd_double,double,cycles:u,,5516018787.0,0.0
omp_simd_double,double,instructions:u,,9225976925.0,0.0
omp_simd_double,double,r0410:u,,2080444485.0,0.0
omp_simd_double,double,r1010:u,,2080777666.0,0.0
omp_simd_double,double,r2010:u,,16.0,0.0
omp_simd_double,double,r4010:u,,0.0,0.0
omp_simd_double,double,r8010:u,,2083011791.0,0.0
omp_simd_float,float,cycles:u,,1554255720.0,0.0
omp_simd_float,float,instructions:u,,4614090951.0,0.0
omp_simd_float,float,r0410:u,,1024024388.0,0.0
omp_simd_float,float,r1010:u,,1024173347.0,0.0
omp_simd_float,float,r2010:u,,16.0,0.0
omp_simd_float,float,r4010:u,,1023545859.0,0.0
omp_simd_float,float,r8010:u,,10.0,0.0
