variant,type,size,repetitions,run,elapsed_seconds,checksum,expected_checksum,sample0,samplemid,samplelast,expected_value,status
baseline_float,float,2048,1000000,1,2.683050594,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_float,float,2048,1000000,2,2.682882258,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_float,float,2048,1000000,3,2.691267759,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_float,float,2048,1000000,4,2.682570644,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_float,float,2048,1000000,5,2.683298014,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
auto_float,float,2048,1000000,1,0.507906364,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
auto_float,float,2048,1000000,2,0.508064417,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
auto_float,float,2048,1000000,3,0.509576320,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
auto_float,float,2048,1000000,4,0.507907645,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
auto_float,float,2048,1000000,5,0.511270342,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_float,float,2048,1000000,1,0.509481149,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_float,float,2048,1000000,2,0.508042858,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_float,float,2048,1000000,3,0.509561201,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_float,float,2048,1000000,4,0.508216423,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_float,float,2048,1000000,5,0.510921637,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_double,double,2048,1000000,1,2.692089435,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_double,double,2048,1000000,2,2.682271472,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_double,double,2048,1000000,3,2.693063296,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_double,double,2048,1000000,4,2.683886226,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
baseline_double,double,2048,1000000,5,2.702852283,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_double,double,2048,1000000,1,1.797330403,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_double,double,2048,1000000,2,1.785554203,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_double,double,2048,1000000,3,1.804040612,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_double,double,2048,1000000,4,1.783826123,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
omp_simd_double,double,2048,1000000,5,1.795790054,256002048.000000000000,256002048.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,125001.000000000000,ok
