variant,size,repetitions,run,elapsed_seconds,checksum,expected_checksum,sample0,samplemid,samplelast,expected_value,status
intrinsics_float,256,1000000,1,0.065443798,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,256,1000000,2,0.065981791,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,256,1000000,3,0.065701673,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,256,1000000,4,0.066088624,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,256,1000000,5,0.065630587,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,512,1000000,1,0.137288044,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,512,1000000,2,0.135548106,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,512,1000000,3,0.137615344,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,512,1000000,4,0.135608460,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,512,1000000,5,0.137890559,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,1024,1000000,1,0.270341950,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,1024,1000000,2,0.260703767,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,1024,1000000,3,0.261017060,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,1024,1000000,4,0.263162880,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,1024,1000000,5,0.265295596,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,2048,1000000,1,0.534857434,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,2048,1000000,2,0.518888656,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,2048,1000000,3,0.548852362,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,2048,1000000,4,0.523570374,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,2048,1000000,5,0.523739108,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,4096,1000000,1,1.800109922,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,4096,1000000,2,1.801018578,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,4096,1000000,3,1.807412376,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,4096,1000000,4,1.811107785,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,4096,1000000,5,1.822892988,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,8192,1000000,1,3.624399899,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,8192,1000000,2,3.626694221,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,8192,1000000,3,3.617742095,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,8192,1000000,4,3.607550635,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
intrinsics_float,8192,1000000,5,3.605949742,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
