variant,threads,run,benchmark_seconds,wall_seconds,l2_norm,verification,output_file
serial,1,1,5.324447000,6.853757440,1.8005644013551E-06,SUCCESSFUL,results/raw/serial_t1_run1.txt
serial,1,2,5.320057000,6.844408320,1.8005644013551E-06,SUCCESSFUL,results/raw/serial_t1_run2.txt
serial,1,3,5.326215000,6.855004928,1.8005644013551E-06,SUCCESSFUL,results/raw/serial_t1_run3.txt
serial,1,4,5.364141000,6.896670208,1.8005644013551E-06,SUCCESSFUL,results/raw/serial_t1_run4.txt
serial,1,5,5.316195000,6.841227776,1.8005644013551E-06,SUCCESSFUL,results/raw/serial_t1_run5.txt
openmp,1,1,5.406875246,6.946179328,1.8005644013551E-06,SUCCESSFUL,results/raw/openmp_t1_run1.txt
openmp,1,2,5.400694922,6.940456704,1.8005644013551E-06,SUCCESSFUL,results/raw/openmp_t1_run2.txt
openmp,1,3,5.406562030,6.952312832,1.8005644013551E-06,SUCCESSFUL,results/raw/openmp_t1_run3.txt
openmp,1,4,5.428309859,6.974540288,1.8005644013551E-06,SUCCESSFUL,results/raw/openmp_t1_run4.txt
openmp,1,5,5.367929783,6.905598464,1.8005644013551E-06,SUCCESSFUL,results/raw/openmp_t1_run5.txt
openmp,2,1,3.301688093,4.664531200,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t2_run1.txt
openmp,2,2,3.289844394,4.659376896,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t2_run2.txt
openmp,2,3,3.313867992,4.683534080,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t2_run3.txt
openmp,2,4,3.299852086,4.669501952,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t2_run4.txt
openmp,2,5,3.289750001,4.656768000,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t2_run5.txt
openmp,6,1,3.013400551,4.360007424,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t6_run1.txt
openmp,6,2,3.008928362,4.355403008,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t6_run2.txt
openmp,6,3,3.014857774,4.363363584,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t6_run3.txt
openmp,6,4,3.028615242,4.374511616,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t6_run4.txt
openmp,6,5,3.026126138,4.372749568,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t6_run5.txt
openmp,12,1,2.366476953,3.668644864,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t12_run1.txt
openmp,12,2,2.358455920,3.659533312,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t12_run2.txt
openmp,12,3,2.348446494,3.644980992,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t12_run3.txt
openmp,12,4,2.355649275,3.651151104,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t12_run4.txt
openmp,12,5,2.369411786,3.666369024,1.8005644013552E-06,SUCCESSFUL,results/raw/openmp_t12_run5.txt
